"name","sample_type","sample_group","comparison","N2_height_nA","d15N_gas","d15N_air","CO2_height_nA","d13C_gas","d13C_VPDB"
"Tray9-D12","(none)",,FALSE,0.06,45.54,65.5,1.76,40.01,14.81
,,,,,,,,,
,,,,,,,,,
"runin","(none)","aspartics",FALSE,0.61,-0.32,-0.22,13.45,-6.35,-34.82
"runin","(none)","aspartics",FALSE,0.64,0.24,0.58,14.66,-6.57,-35.05
"aspartic","(none)","aspartics",FALSE,0.84,0.11,0.39,18.58,-6.54,-35.02
"aspartic","(none)","aspartics",FALSE,0.69,0.32,0.69,15.54,-6.39,-34.86
"aspartic","(none)","aspartics",FALSE,0.68,0.08,0.35,15.77,-6.52,-35
"aspartic","(none)","aspartics",FALSE,0.61,-0.11,0.08,14.24,-6.59,-35.08
"aspartic","(Blank)","aspartics",FALSE,0.6,0.64,,15.97,-6.34,
"aspartic","(Blank)","aspartics",FALSE,0.93,0.51,,24.25,-6.63,
"aspartic","(none)","aspartics",FALSE,0.6,0.59,1.08,15.85,-6.44,-34.91
"aspartic","(none)","aspartics",FALSE,0.58,0.87,1.48,16.11,-6.5,-34.98
"runin","(none)","aspartics",FALSE,0.61,0.32,0.69,15.09,-6.49,-34.97
"runin","(none)","aspartics",FALSE,0.77,0.5,0.95,17.83,-6.53,-35.01
"aspartic","(none)","aspartics",FALSE,1.05,0.34,0.72,23.65,-6.41,-34.88
"aspartic","(none)","aspartics",FALSE,0.78,0.24,0.58,17.86,-6.71,-35.2
"aspartic","(none)","aspartics",FALSE,0.8,0.62,1.12,18.83,-6.42,-34.9
"aspartic","(none)","aspartics",FALSE,0.93,0.63,1.14,15.69,-6.63,-35.12
"aspartic","(none)","aspartics",FALSE,0.82,0.74,1.29,13.62,-6.5,-34.98
"aspartic","(none)","aspartics",FALSE,0.63,0.73,1.28,10.74,-6.59,-35.07
"aspartic","(none)","aspartics",FALSE,0.69,0.57,1.05,11.94,-6.29,-34.76
"aspartic","(none)","aspartics",FALSE,0.69,0.7,1.23,12,-6.33,-34.8
"runin","(none)","aspartics",FALSE,0.7,0.69,1.22,14.95,-6.47,-34.95
"runin","(none)","aspartics",FALSE,0.85,0.69,1.22,18.13,-6.44,-34.92
"aspartic","(none)","aspartics",FALSE,0.71,0.34,0.73,10.83,-6.46,-34.93
"aspartic","(none)","aspartics",FALSE,0.68,0.64,1.16,10.47,-6.66,-35.15
"aspartic","(none)","aspartics",FALSE,0.51,1.36,2.18,7,-6.5,-34.98
"aspartic","(none)","aspartics",FALSE,0.93,0.84,1.43,12.06,-6.6,-35.09
"aspartic","(none)","aspartics",FALSE,0.66,1.42,2.27,9.56,-6.54,-35.02
"aspartic","(none)","aspartics",FALSE,0.49,1.12,1.85,7.21,-6.92,-35.43
"runin","(none)","aspartics",FALSE,0.55,1.2,1.96,8.26,-6.55,-35.04
"runin","(none)","aspartics",FALSE,1,1.19,1.93,14.65,-6.84,-35.35
"aspartic","(none)","aspartics",FALSE,0.59,1.09,1.8,8.66,-6.71,-35.21
"aspartic","(none)","aspartics",FALSE,0.7,1.28,2.07,10.13,-6.71,-35.2
"aspartic","(none)","aspartics",FALSE,0.74,1.54,2.45,15.24,-6.57,-35.06
"aspartic","(none)","aspartics",FALSE,0.87,1.68,2.64,17.16,-6.62,-35.11
"aspartic","(none)","aspartics",FALSE,1.04,1.3,2.09,20.67,-6.63,-35.12
"aspartic","(none)","aspartics",FALSE,0.63,1.39,2.22,12.61,-6.68,-35.17
"aspartic","(none)","aspartics",FALSE,0.6,1.64,2.58,12.44,-6.63,-35.12
"aspartic","(none)","aspartics",FALSE,0.59,1.68,2.64,11.73,-6.58,-35.06
"aspartic","(none)","aspartics",FALSE,1.01,1.86,2.9,19.88,-6.49,-34.97
"aspartic","(none)","aspartics",FALSE,0.56,1.38,2.2,11.61,-6.62,-35.11
,,,,0.72,0.82,1.42,14.37,-6.55,-35.04
,,,,0.15,0.54,0.79,4.08,0.13,0.14
"MT","(Blank)","blanks",FALSE,0.02,-1.64,,0.02,-6.88,
"MT","(Blank)","blanks",FALSE,,,,,,
"MT","(Blank)","blanks",FALSE,,,,,,
"MT","(Blank)","blanks",FALSE,,,,,,
"Tray6-A5-MT","(Blank)","blanks",FALSE,0.02,1.1,,0.29,7.88,
"Tray6-A8-MT","(Blank)","blanks",FALSE,,,,,,
"MT","(Blank)","blanks",FALSE,,,,,,
"Tray6-B12-MT","(Blank)","blanks",FALSE,,,,,,
"Tray6-C7","(Blank)","blanks",FALSE,,,,,,
"MT","(Blank)","blanks",FALSE,,,,,,
"MT","(Blank)","blanks",FALSE,,,,,,
"MT","(Blank)","blanks",FALSE,,,,,,
"MT","(Blank)","blanks",FALSE,,,,,,
"Tray7-A5-MT","(Blank)","blanks",FALSE,,,,0.15,4.12,
"Tray7-A8-MT","(Blank)","blanks",FALSE,,,,,,
"Tray7-B12-MT","(Blank)","blanks",FALSE,,,,,,
"Tray7-C7-MT","(Blank)","blanks",FALSE,,,,,,
"Tray8-A5-MT","(Blank)","blanks",FALSE,0.03,-0.27,,0.13,5.81,
"Tray8-A8-MT","(Blank)","blanks",FALSE,,,,0.07,0.4,
"Tray8-B12-MT","(Blank)","blanks",FALSE,,,,,,
"Tray8-C7-MT","(Blank)","blanks",FALSE,,,,,,
"MT","(Blank)","blanks",FALSE,,,,,,
"MT","(Blank)","blanks",FALSE,0.1,-6.92,,,,
"MT","(Blank)","blanks",FALSE,,,,,,
"Tray9-A5-MT","(Blank)","blanks",FALSE,,,,0.18,2.43,
"Tray9-A8-MT","(Blank)","blanks",FALSE,,,,,,
"Tray9-B12-MT","(Blank)","blanks",FALSE,,,,,,
"Tray9-C7-MT","(Blank)","blanks",FALSE,,,,,,
"MT","(Blank)","blanks",FALSE,,,,,,
"MT","(Blank)","blanks",FALSE,,,,,,
"MT","(Blank)","blanks",FALSE,,,,,,
"Tray10-A5-MT","(Blank)","blanks",FALSE,,,,0.16,0.57,
"Tray10-A8-MT","(Blank)","blanks",FALSE,,,,,,
"Tray10-B12-MT","(Blank)","blanks",FALSE,,,,,,
"Tray10-C7-MT","(Blank)","blanks",FALSE,,,,,,
"MT","(Blank)","blanks",FALSE,,,,,,
,,,,0.04,-1.93,,0.14,2.05,
,,,,0.04,3.51,,0.08,4.78,
"Tray6-COND","(none)","conditioning",FALSE,0.06,-2.58,-3.47,1.99,13.33,-13.76
"Tray6-COND","(none)","conditioning",FALSE,0.05,-8.38,-11.78,1.73,15.55,-11.37
"Tray6-COND","(none)","conditioning",FALSE,0.06,-4.85,-6.71,1.98,14.75,-12.23
"Tray6-COND","(none)","conditioning",FALSE,0.04,-11.52,-16.27,1.38,15.06,-11.9
"Tray7-COND","(none)","conditioning",FALSE,0.08,-5.64,-7.85,2.63,15.94,-10.96
"Tray7-COND","(none)","conditioning",FALSE,0.06,-6.64,-9.28,1.64,15.95,-10.95
"Tray7-COND","(none)","conditioning",FALSE,0.09,-5.9,-8.22,2.83,15.85,-11.06
"Tray7-COND","(none)","conditioning",FALSE,0.06,-3.34,-4.55,1.93,15.68,-11.24
"Tray8-Cond","(none)","conditioning",FALSE,0.07,-7.41,-10.38,1.93,15.81,-11.1
"Tray8-Cond","(none)","conditioning",FALSE,0.07,-4.52,-6.24,1.97,15.5,-11.43
"Tray8-Cond","(none)","conditioning",FALSE,0.09,-7.3,-10.23,2.57,15.99,-10.91
"Tray8-Cond","(none)","conditioning",FALSE,0.06,-2.65,-3.57,1.64,14.46,-12.54
"Tray9-COND","(none)","conditioning",FALSE,0.05,-6.41,-8.96,1.88,15.58,-11.34
"Tray9-COND","(none)","conditioning",FALSE,0.06,-5.24,-7.28,1.81,15.51,-11.42
"Tray9-COND","(none)","conditioning",FALSE,0.06,-3.77,-5.18,1.58,15.57,-11.35
"Tray9-COND","(none)","conditioning",FALSE,0.1,-5.78,-8.06,3.06,16.24,-10.64
"Tray10-COND","(none)","conditioning",FALSE,0.08,-5.58,-7.76,2.43,15.38,-11.56
"Tray10-COND","(none)","conditioning",FALSE,0.08,-2.62,-3.51,2.15,15.31,-11.63
"Tray10-COND","(none)","conditioning",FALSE,0.07,-2.68,-3.61,2.18,15.22,-11.73
"Tray10-COND","(none)","conditioning",FALSE,0.08,-5.04,-6.99,2.5,16.1,-10.79
,,,,0.07,-5.39,-7.49,2.09,15.44,-11.5
,,,,0.02,2.25,3.22,0.45,0.66,0.71
"Tray6-A6","Moran_LOW","moran_LOW",FALSE,0.07,-7.67,-10.76,2.18,16.08,-10.81
"Tray6-B3","Moran_LOW","moran_LOW",FALSE,0.06,-5.37,-7.45,1.99,15.46,-11.47
"Tray6-C8","Moran_LOW","moran_LOW",FALSE,0.06,-2.16,-2.86,1.66,16,-10.89
"Tray6-D3","Moran_LOW","moran_LOW",FALSE,0.08,-3.07,-4.16,2.57,15.99,-10.91
"Tray6-D11","Moran_LOW","moran_LOW",FALSE,0.07,-5.41,-7.52,2.35,16.43,-10.43
"Tray7-A6","Moran_LOW","moran_LOW",FALSE,0.06,-4.39,-6.06,1.6,15.62,-11.3
"Tray7-B3","Moran_LOW","moran_LOW",FALSE,0.07,-4.98,-6.9,2.27,15.74,-11.17
"Tray7-C8","Moran_LOW","moran_LOW",FALSE,0.07,-4.51,-6.23,2.1,15.68,-11.23
"Tray8-A6","Moran_LOW","moran_LOW",FALSE,0.08,-7.59,-10.64,2.13,15.47,-11.46
"Tray8-B3","Moran_LOW","moran_LOW",FALSE,0.06,-8.57,-12.05,1.88,15.63,-11.29
"Tray8-C8","Moran_LOW","moran_LOW",FALSE,0.09,-6.08,-8.48,2.77,16.15,-10.73
"Tray8-D3","Moran_LOW","moran_LOW",FALSE,0.08,-4.15,-5.72,2.32,16.28,-10.6
"Tray8-D11","Moran_LOW","moran_LOW",FALSE,0.07,-4.72,-6.54,1.75,15.65,-11.26
"Tray9-A6","Moran_LOW","moran_LOW",FALSE,0.09,-7.44,-10.43,2.77,15.84,-11.07
"Tray9-B3","Moran_LOW","moran_LOW",FALSE,0.06,-6.34,-8.85,1.69,15.95,-10.95
"Tray9-C8","Moran_LOW","moran_LOW",FALSE,0.1,-5.31,-7.37,2.8,15.89,-11.01
"Tray9-D3","Moran_LOW","moran_LOW",FALSE,0.06,-3.16,-4.29,1.67,15.01,-11.95
"Tray9-D11","Moran_LOW","moran_LOW",FALSE,0.08,-4.38,-6.04,2.41,15.87,-11.04
"Tray10-A6","Moran_LOW","moran_LOW",FALSE,0.07,-13.53,-19.15,1.97,16.07,-10.82
"Tray10-B3","Moran_LOW","moran_LOW",FALSE,0.06,-6.15,-8.57,1.98,16.05,-10.84
"Tray10-C8","Moran_LOW","moran_LOW",FALSE,0.06,-4.61,-6.37,1.92,15.21,-11.74
"Tray10-D3","Moran_LOW","moran_LOW",FALSE,0.07,-3.77,-5.17,1.92,15.95,-10.94
"Tray10-D11","Moran_LOW","moran_LOW",FALSE,0.06,-3.9,-5.35,1.75,15.99,-10.91
,,,,0.07,-5.53,-7.69,2.11,15.83,-11.08
,,,,0.01,2.37,3.39,0.37,0.33,0.35
"Tray6-A7","Moran_MED","moran_MED",FALSE,0.06,54.56,78.42,1.82,41.86,16.79
"Tray6-B4","Moran_MED","moran_MED",FALSE,0.09,60.34,86.7,2.88,41.61,16.52
"Tray6-B11","Moran_MED","moran_MED",FALSE,0.06,53.22,76.5,1.8,41.49,16.39
"Tray6-D4","Moran_MED","moran_MED",FALSE,0.08,47.51,68.32,2.36,42.46,17.44
"Tray6-D12","Moran_MED","moran_MED",FALSE,0.09,50.49,72.59,2.78,41.37,16.26
"Tray7-A7","Moran_MED","moran_MED",FALSE,0.06,40.01,57.57,1.77,41.58,16.49
"Tray7-B4","Moran_MED","moran_MED",FALSE,0.07,40.55,58.34,1.99,41.72,16.64
"Tray7-B11","Moran_MED","moran_MED",FALSE,0.08,54.8,78.77,2.25,42.7,17.69
"Tray8-A7","Moran_MED","moran_MED",FALSE,0.08,46.47,66.83,2.18,42.25,17.21
"Tray8-B4","Moran_MED","moran_MED",FALSE,0.07,48.98,70.43,2.09,42.06,17.01
"Tray8-B11","Moran_MED","moran_MED",FALSE,0.09,53.86,77.42,2.81,41.56,16.47
"Tray8-D4","Moran_MED","moran_MED",FALSE,0.09,47.85,68.8,2.41,41.6,16.51
"Tray8-D12","Moran_MED","moran_MED",FALSE,0.07,51.55,74.11,2.23,41.85,16.78
"Tray9-A7","Moran_MED","moran_MED",FALSE,0.08,52.89,76.02,2.3,42.16,17.11
"Tray9-B4","Moran_MED","moran_MED",FALSE,0.09,65.16,93.61,2.57,42.59,17.57
"Tray9-B11","Moran_MED","moran_MED",FALSE,0.07,47.64,68.51,1.85,41.4,16.3
"Tray9-D4","Moran_MED","moran_MED",FALSE,0.08,52.72,75.79,2.08,41.24,16.13
"Tray10-A7","Moran_MED","moran_MED",FALSE,0.05,47.7,68.59,1.38,41.31,16.2
"Tray10-B4","Moran_MED","moran_MED",FALSE,0.07,50.82,73.07,1.85,42.2,17.15
"Tray10-B11","Moran_MED","moran_MED",FALSE,0.07,51.89,74.6,1.87,41.42,16.32
"Tray10-D4","Moran_MED","moran_MED",FALSE,0.06,45.49,65.42,1.55,41.5,16.4
"Tray10-D12","Moran_MED","moran_MED",FALSE,0.09,47.25,67.95,2.31,41.51,16.42
,,,,0.07,50.54,72.65,2.14,41.79,16.72
,,,,0.01,5.67,8.12,0.4,0.43,0.46
"Tray6-A9","(Sample)","samples",FALSE,0.06,4.17,6.21,1.71,0.51,-27.48
"Tray6-A10","(Sample)","samples",FALSE,0.06,2.46,3.75,1.68,0.34,-27.66
"Tray6-A11","(Sample)","samples",FALSE,0.05,2.34,3.59,1.23,0.1,-27.91
"Tray6-A12","(Sample)","samples",FALSE,0.06,1.27,2.05,1.38,0.24,-27.77
"Tray6-B1","(Sample)","samples",FALSE,0.05,3.16,4.76,1.18,0.22,-27.79
"Tray6-B2","(Sample)","samples",FALSE,0.06,-1.54,-1.97,1.3,0.32,-27.68
"Tray6-B5","(Sample)","samples",FALSE,0.09,2.33,3.57,3.19,1.06,-26.89
"Tray6-B6","(Sample)","samples",FALSE,0.06,1.76,2.76,1.48,0.42,-27.57
"Tray6-B7","(Sample)","samples",FALSE,0.04,6.96,10.21,1.3,0.21,-27.8
"Tray6-B8","(Sample)","samples",FALSE,0.05,1.99,3.08,1.63,0.71,-27.26
"Tray6-B9","(Sample)","samples",FALSE,0.06,2.49,3.8,1.82,0.42,-27.58
"Tray6-B10","(Sample)","samples",FALSE,0.05,5.27,7.78,1.62,0.35,-27.64
"Tray6-C1","(Sample)","samples",FALSE,0.05,0.59,1.07,1.62,0.74,-27.23
"Tray6-C2","(Sample)","samples",FALSE,0.07,1.48,2.36,1.8,0.41,-27.59
"Tray6-C3","(Sample)","samples",FALSE,0.05,-0.95,-1.13,1.31,0.73,-27.25
"Tray6-C4","(Sample)","samples",FALSE,0.06,3.5,5.25,2.18,0.67,-27.3
"Tray6-C5","(Sample)","samples",FALSE,0.04,-2.08,-2.75,1.44,0.19,-27.82
"Tray6-C6","(Sample)","samples",FALSE,0.04,1.4,2.24,1.06,0.24,-27.76
"Tray6-C9","(Sample)","samples",FALSE,0.04,1.43,2.28,1.27,0.41,-27.58
"Tray6-C10","(Sample)","samples",FALSE,0.03,8.36,12.22,0.94,0.39,-27.6
