"core","weoc_rep","target_mL","wt_filtered_extract_g","notes"
1,"A",2,2.11,
1,"B",2,2.15,
1,"C",2,2.11,
1,"D1-FTICR",10,10.43,
1,"D2",,10.44,
2,"A",,2.11,
2,"B",,2.08,
2,"C",,2.27,
2,"D1-FTICR",,10.31,
2,"D2",,10.44,
3,"A",,2.3,
3,"B",,2.2,
3,"C",,2.13,
3,"D1-FTICR",,10.37,
3,"D2",,10.57,
4,"A",,2.25,
4,"B",,2.37,
4,"C",,2.32,
4,"D1-FTICR",,10.39,
4,"D2",,10.46,
5,"A",,2.21,
5,"B",,2.27,
5,"C",,2.24,
5,"D1-FTICR",,10.46,
5,"D2",,10.26,
6,"A",,2.2,
6,"B",,2.31,
6,"C",,2.24,
6,"D1-FTICR",,10.3,
6,"D2",,10.45,
7,"A",,2.04,
7,"B",,2.24,
7,"C",,2.25,
7,"D1-FTICR",,10.44,
7,"D2",,10.56,
8,"A",,2.1,
8,"B",,2.21,
8,"C",,2.22,
8,"D1-FTICR",,10.31,
8,"D2",,11.03,
9,"A",,2.39,
9,"B",,2.25,
9,"C",,2.43,
9,"D1-FTICR",,10.56,
9,"D2",,10.37,
10,"A",,2.39,
10,"B",,2.25,
10,"C",,2.25,
10,"D1-FTICR",,10.15,
10,"D2",,10.33,
11,"A",,2.34,
11,"B",,2.38,
11,"C",,2.4,
11,"D1-FTICR",,10.47,
11,"D2",,10.09,
12,"A",,2.25,
12,"B",,2.34,
12,"C",,2.17,
12,"D1-FTICR",,10.51,
12,"D2",,9.98,
13,"A",,2.21,
13,"B",,2.37,
13,"C",,2.42,
13,"D1-FTICR",,10.28,
13,"D2",,10.24,
14,"A",,2.15,
14,"B",,2.24,
14,"C",,2.26,
14,"D1-FTICR",,10.24,
14,"D2",,8.27,
15,"A",,2.22,
15,"B",,2.24,
15,"C",,2.19,
15,"D1-FTICR",,10.51,
15,"D2",,7.73,
16,"A",,2.25,
16,"B",,2.37,
16,"C",,2.31,
16,"D1-FTICR",,10.25,
16,"D2",,11.49,
17,"A",,2.12,
17,"B",,2.33,
17,"C",,2.25,
17,"D1-FTICR",,10.12,
17,"D2",,10.15,
18,"A",,2.22,
18,"B",,2.21,
18,"C",,2.15,
18,"D1-FTICR",,9.99,
18,"D2",,10.18,
19,"A",,2.14,
19,"B",,2.23,
19,"C",,2.07,
19,"D1-FTICR",,10.26,
19,"D2",,10.28,
20,"A",,2.32,
20,"B",,2.14,
20,"C",,2.29,
20,"D1-FTICR",,10.11,
20,"D2",,10.3,
21,"A",,2.38,
21,"B",,2.34,
21,"C",,2.09,
21,"D1-FTICR",,10.38,
21,"D2",,10.52,
22,"A",,2.15,
22,"B",,2.13,
22,"C",,2.15,
22,"D1-FTICR",,10.45,
22,"D2",,10.24,
23,"A",,2.55,
23,"B",,2.18,
23,"C",,2.31,
23,"D1-FTICR",,10.37,
23,"D2",,9.27,
24,"A",,2.11,
24,"B",,2.25,
24,"C",,2.12,
24,"D1-FTICR",,10.28,
24,"D2",,10.63,
25,"A",,2.29,
25,"B",,2.21,
25,"C",,2.19,
25,"D1-FTICR",,10.35,
25,"D2",,10.6,
26,"A",,2.07,
26,"B",,2.16,
26,"C",,2.12,
26,"D1-FTICR",,10.24,
26,"D2",,9.28,
27,"A",,2.22,
